code,county,area,date,time,places,file
,NAIROBI,BABADOGO,Sunday 07.09.2025,: 9.00 A.M. – 5.00 P.M.,"['Babadogo', 'New Kenafric Factory', 'Old Kenafric Factory', 'Rubber Factory', 'Cussons', 'Siraj', 'Kariadudu', 'Roy Transporters', 'Chandaria Factory', 'Regal Pharmaceutical', 'Impala', 'E.A', 'Foundry', 'Babadogo Catholic Church & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,NAIROBI,DOWNTOWN,Sunday 07.09.2025,: 9.00 A.M. – 5.00 P.M.,"['River Rd', 'Sheikh Karume', 'Luthuli', 'Accra Rd', 'Duruma Rd', 'Dubois', 'Part Kirinyaga Rd', 'Charles', 'Rubia Rd & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,NAIROBI,GARDEN ESTATE,Sunday 07.09.2025,: 9.00 A.M. – 5.00 P.M.,"['Jewel Ministries', 'Garden Estate Mall', 'KBL Offices', 'Prabaki', 'GSU HQtr & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,NAIROBI,NAIROBI WEST,Sunday 07.09.2025,9.00 A.M. - 5.00 P.M.,"['Part of Muhoho Ave', 'Mama Ngina Children’s Home', 'Muhuti Avenue', 'Part of Ole Shapara', 'Rd', 'Uchumi Rd', 'Heshima Est', 'Aljazeera', 'Five Star Est', 'Ruby Est', 'Halai Est', 'Jua Kali Rd', 'Olive Rd', 'St. Catherine of Alexandria Catholic', 'Momon Est', 'Midland Court Est', 'Fedha A pts', 'Parkview Apts & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,NAIROBI,"KENYATTA, MBAGATHI, KIBERA",Sunday 07.09.2025,9.00 A.M. - 5.00 P.M.,"['Madaraka Garage', 'Geomap', 'Kenyatta Hospital Flats', 'Mbagathi Way', 'Ngumo', 'Kibera Laini', 'Saba', 'Unduku', 'Silanga & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,NAIROBI,"PART OF BURUBURU, PART OF MARINGO",Thursday 11.09.2025,9.00 A.M. – 5.00 P.M.,"['Maringo S/Center', 'Huruma Girls', 'Charles New Rd', 'Metropolitan Hosp', 'Sonko Rd', 'Buruburu', 'S/Center', 'School of Theology', 'Buruburu Phase 3 & 4', 'Buruburu Flats & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,NAIROBI,SEASONS,Thursday 11.09.2025,9.00 A.M. – 5.00 P.M.,"['Seasons Rd', 'Kastemil', 'Clay City Est', 'Camp David', 'Jalyn Sch', 'Citam & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,NAIROBI,PART OF DANDORA,Thursday 11.09.2025,9.00 A.M. – 5.00 P.M.,"['Mwiki', 'Maili Saba', 'Silanga', 'Dandora Millers', 'Mowlem Heights', 'KPCU Factory', 'Dandora', 'Millers', 'County Recyclers & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,NAIROBI,COMMUNITY,Saturday 13.09.2025,9.00 A.M. - 5.00 P.M.,"['3rd', '4th & 5th Ngong Aves', 'Kenya National Library', 'NHIF', 'Ministry of Lands', 'I&M Bank', 'Traffic', 'Police', 'Nairobi Club', 'Newlife SDA Church', 'AAR & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,MACHAKOS,"KATANI, SYOKIMAU",Tuesday 16.09.2025,9.00 A.M. – 5.00 P.M.,"['Parliament Rd', 'Katani Rd', 'Rim House', 'Katani Seme', 'Mwangaza Rehab', 'Katani S/Centre &', 'adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,KAJIADO,KITENGELA,Saturday 06.09.2025,9.00 A.M. – 5.00 P.M.,"['Almond Grove', 'Status Villa', 'Sinkeet', 'Milimani Orchard', 'Kenpipe', 'KUSCO & adjacent', 'customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,KAJIADO,ISINYA,Sunday 07.09.2025,9.00 A.M. – 5.00 P.M.,"['Isinya Town', 'Technosteel', 'Kingsun', 'Kisaju Plains', 'Pipeline Rd', 'Enchoroi', 'Nandonderit', 'Kisaju Mixed', 'Inkiito & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,KAJIADO,KITENGELA,Wednesday 10.09.2025,9.00 A.M. – 5.00 P.M.,"['Kitengela Medical', 'St. Lilliana', 'Deliverance Rd', 'Baraka Rd', 'Balozi Rd', 'Tropicana', 'Mama', 'Muiruri', 'Chuna', 'Upper Valley', 'Safaricom 1 & 2', 'Muigai', 'Police Sacco', 'Ola', 'East Africa Univ', 'Kimalat & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,NAKURU,"ELEMENTAITA, KONGOI",Tuesday 09.09.2025,9.00 A.M. – 3.00 P.M.,"['Parts of Elementaita', 'Kongasis', 'Oljorai', 'Kiambogo', 'Munanda', 'Tangi Tano', 'Kiptangwany', 'Jogoo', 'Miti Mingi', 'Kianjoya', 'Sururu', 'Mau Narok', 'Mwisho wa Lami', 'Likia', 'Mauche', 'Kapyemit', 'Fontana', 'Charvi', 'Gatimu & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,NAKURU,"KIAMUNYI, MERCY NJERI",Thursday 11.09.2025,8.00 A.M. - 5.00 P.M.,"['Part of Industrial', 'KCC', 'Milimani Apts', 'NARUWASCO Pump', 'Kiamunyi', 'Olive Inn', 'Baraka', 'Est', 'Part of Ngata', 'Zaburi', 'Muiru Center', 'Mercy Njeri', 'Makiki Bore Hole', 'Madrugada Farm', 'London', 'Part of Industrial', 'Soilo & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,TRANS NZOIA,MOISBRIDGE CENTRE,Thursday 11.09.2025,9.00 A.M. – 5.00 P.M.,"['Matunda Centre', 'Kona Mbaya', 'Loreto', 'Moi ’s Bridge Center', 'Lamayuet', 'Kapkoi  Sisal', 'Bwayi', 'Moi’s Bridge  Mission Hosp & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,WEST POKOT,"KONYAO, ALALE",Saturday 06.09.2025,9.00 A.M. – 5.00 P.M.,"['Kodich', 'Orolwo', 'Konyao', 'Kiwawa', 'Chelopoy', 'Amakuriat', 'Alale & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,WEST POKOT,CHEPNYAL,Monday 08.09.2025,9.00 A.M. – 5.00 P.M.,"['Kapombo', 'Chepkopegh', 'Tamugh', 'Chepnyal & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,WEST POKOT,"SIGOR, LOMUT",Wednesday 10.09.2025,9.00 A.M. – 5.00 P.M.,"['Sigor', 'Ipet', 'Tamkal', 'Chesta', 'Chesta Teachers College', 'Lomut & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,WEST POKOT,"SARMACH, KAINUK",Friday 12.09.2025,9.00 A.M. – 5.00 P.M.,"['Orwa', 'Lami Nyeusi', 'Kainuk', 'Sarmach', 'Sekerr & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,UASIN GISHU,CATHOLIC DIOCESE,Sunday 07.09.2025,9.00 A.M. – 5.00 P.M.,"['Catholic Diocese', 'Eldoret Hosp', 'Daima Towers & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,UASIN GISHU,"ASSURURIET, MKOMBOZI",Tuesday 09.09.2025,9.00 A.M. – 5.00 P.M.,"['Assururiet', 'Mkombozi', 'Chebarus Kesses', 'Moi University Water Intake', 'Ngeny', 'Ongatet &', 'adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,UASIN GISHU,CHEPKANGA,Tuesday 09.09.2025,10.00 A.M. – 5.00 P.M.,"['Chepkanga & adjacent customers.', 'WEST ERN REGION']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,KISUMU,KISUMU TOWN,Sunday 07.09.2025,8.00 A.M. – 5.00 P.M.,"['Okore Est', 'Obunga', 'Migosi', 'Lolwe', 'Uzima Univ', 'Kanyamedha & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,VIHIGA,MBALE TOWN,Tuesday 09.09.2025,8.30 A.M. – 4.00 P.M.,"['Part of Mbale Town', 'Broad Park Hotel', 'Hamisi Hotel', 'Part of Chevakali Mkt & adjacent', 'customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,KAKAMEGA,INGOTSE,Tuesday  09.09.2025,9.00 A.M. – 5.00 P.M.,"['Lutaso', 'Makunga & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,KAKAMEGA,MAKUNGA,Friday 12.09.2025,9.00 A.M. – 5.00 P.M.,"['Emukangu', 'Ebureka', 'Etabale', 'Shinoyi Mkt', 'Ebumamu', 'Khungoyosi & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,KAKAMEGA,SHIKOTI,Friday  12.09.2025,9.00 A.M. – 5.00 P.M.,"['Shikoti', 'Shrakalu', 'Emachembe', 'Ebutanje', 'Ebushibo', 'Shihango', 'Esumeya', 'Eshiyenga &', 'adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,SIAYA,BORO,Monday 08.09.2025,9.00 A.M. – 3.00 P.M.,"['Malaha Sch', 'Mbaga Mission', 'Bishop Okoth Girls & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,SIAYA,NG’IYA,Wednesday  10.09.2025,9.00 A.M. – 5.00 P.M.,"['Karapul Pri', 'Barding High Sch', 'Rambo Sch', 'Pap Oriang Keromo & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,BUNGOMA,BUTALI,Wednesday  10.09.2025,9.00 A.M. – 5.00 P.M.,"['Hongera Millers', 'Pan Africa Chemical', 'Kenol Kobil', 'Power Gas', 'Butali Sugar', 'Tachoni', 'Jaggary', 'Teressia Pri', 'Chebwai Adve', 'Kivai Sec Sch', 'Matete Mkt', 'Chabadia Fact', 'Chimoi', 'Mkt', 'Lwandeti', 'Kaburengu & adjacent customers.', 'For further information', 'contact', 'the nearest Kenya Power office', 'Interruption n otices may be viewed at', 'www.kplc.co.ke', 'Power Maintenance Notice', 'Notice is hereby given under Rule 27 of the Electric Power Rules', 'That the electricity supply will be interrupted as here under:', '(It is necessary to interrupt supply periodically in order to facilitate maintenance and', 'upgrade of power lines to the network; to connect new customers or to replace power', 'lines during road construction', 'etc.)']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,BUNGOMA,WEBUYE TOWN,Saturday 13.09.2025,9.00 A.M. – 5.00 P.M.,"['Site & Service Est', 'Webuye Town', 'Webuye Law Courts', 'Webuye Sub County Hosp', 'Nabuyole Boosters', 'National Est', 'Pan Paper Guest Houses', 'Dinah', 'Satellite Hotel', 'Apollo', 'Hotel', 'Swan Hotel', 'New Rays Hotel', 'Nabuyole Falls Lodge Hotel', 'Nyange Street', 'Moi Ave', 'Webuye East Police & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,KISII,OGEMBO,Tuesday 09.09.2025,9.00 A.M. - 5.00 P.M.,"['Ogembo Law Courts', 'Ogembo Mkt', 'Egetuki', 'Nyabisiongoroi', 'Mangera Pri & adjacent', 'customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,KISII,KEROKA,Thursday 11.09.2025,9.00 A.M. - 5.00 P.M.,"['Nyankoba T/Fact', 'Birongo Mkt', 'Keroka Town', 'Ichuni', 'Gianchere', 'Mongoni Sec', 'Keroka DCC', 'Office', 'Matangi', 'Amabuko Sec', 'One -Hen Project', 'Gesabakwa', 'Keroka Water & adjacent', 'customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,MIGORI,NAMBA KODERO,Tuesday 09.09.2025,9.00 A.M. - 5.00 P.M.,"['Namba Koloo', 'Namba Kodero', 'Nyandema', 'Nyandago', 'Bande', 'Kanga Onditi', 'Amoyo', 'Aonge', 'Dhiang’', 'Aneko', 'Winyo', 'Got Kachola', 'Sota', 'Rabwao', 'Lisori', 'Muhuru Bay & adjacent', 'customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,MIGORI,RONGO TOWN,Thursday 11.09.2025,9.00 A.M. - 5.00 P.M.,"['Rongo Town', 'Rongo Univ', 'Kodero Bara', 'Kanyawanga', 'Dede', 'Kwoyo Kodalo', 'Kanga', 'Machine & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,NYERI,"KANGUBIRI, ITHEKAHUNO",Monday 08.09.2025,8.00 A.M. – 5.00 P.M.,"['Sagana Falls Power Stn', 'Ihigaini Pri', 'Kaigonde', 'Mung’aria C/Fact', 'Kangubiri Girls', 'Parts of', 'Muthinga', 'Gititu Dispensary', 'Nyaithee C/Fact', 'Aguthi Sec', 'Muthoka’s Place', 'Culvert', 'Gathungo Pri', 'Ithekahuno Market', 'Karo Pri', 'Thageini', 'Maingirano', 'Kiaraho & adjac ent', 'customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,NYERI,"NDIMA -INI, KIRIMARA",Tuesday 09.09.2025,8.00 A.M – 5.00 P.M.,"['Kiangogoyo', 'Karindundu C/Fact', 'Kiahiti', 'Kirimara High Sch', 'Iruruma', 'Muchohi Village', 'Mutoi', 'Village', 'Ndima -Ini Mkt', 'Ndima -Ini C/Fact', 'Kahuta -Ini', 'Muhaka -Ini', 'Njororoma', 'Safaricom', 'Boosters', 'Airtel Boosters & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,NYERI,"MIKUNDI, MAGANJO",Wednesday 10.09.2025,9.00 A.M. – 5.00 P.M.,"['Kaiganaine Village', 'Mikundi Dispensary', 'Mikundi Mkt', 'Chieni', 'Maganjo Village', 'Maganjo Sec', 'Sch', 'Gatunai Village', 'Mikundi Village', 'Safaricom Boosters', 'Airtel Boosters & adjacent', 'customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,NYERI,"KIGOGOINI, WANDUMBI",Friday 12.09.2025,8.00 A.M. – 5.00 P.M.,"['Kiriti Sec', 'Giakamaki TBC', 'Gachuiro', 'JW Gitahi', 'Cuba', 'Gakere Sec', 'Kigogoini', 'Wandumbi', 'Kamahuru TBC & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,MURANGA,"KAGAA, CORNSTAR MILLERS",Monday 08.09.2025,9.00 A.M. – 5.00 P.M.,"['Kagaa Getune Pri Elephant Hotel', 'Cornstar Millers', 'Kagaa  Sec', 'Running Twist', 'Eng.', 'Ngokonyo', 'By Grace Academy & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,MURANGA,"GACHARAGE, MUNUNGA",Monday 08.09.2025,9.00 A.M. – 5.00 P.M.,"['Gaturumo', 'Gacharage T/Fact', 'Mununga Mkt', 'Boro', 'Mukoma', 'Gikigie', 'Kinyona', 'Rugongo', 'Ruraya', 'Hilton', 'Mucagatha', 'Githae & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,MURANGA,"MACHEGECHA, KARIUA, KARITI",Wednesday 10.09.2025,9.00 A.M. – 5.00 P.M.,"['Machegecha Pri', 'Machegecha Sec', 'Kariti Mkt', 'Kariti Sec', 'Kari UA Mutitu', 'Kirirwa', 'Nguku &', 'adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,EMBU,"KIRITIRI, MAYORI, KIAMBERE",Tuesday 09.09.2025,9.00 A.M. – 5.00 P.M.,"['Kiritiri', 'Kirima', 'Rwethe', 'Munyori', 'Kamunyange', 'Kianjiru Telecommunication Hub', 'Karambari', 'Gangara', 'Kathanje', 'Mayori', 'Karimari', 'Ciambingu', 'Igumori', 'Ntharawe', 'Kirathe', 'Ciorindagwa', 'Kabuguri', 'Karie', 'Rurie', 'Newsite', 'Kiambere', 'Kariguri Safaricom', 'Gacabari', 'Mukororia', 'Kianjogu', 'Kandomba & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,MERU,"IGOJI, KINORO, KATHIGU",Monday 08.09.2025,8.30 A.M. - 5.00 P.M.,"['Igoji Teachers Training College', 'Igoji Mission Hosp', 'Kinoro T/Fact', 'Kinoro Mkt', 'Miruriri Sec', 'Sch', 'Igoji Mkt', 'Nkugwe Village', 'Kuiri C/Fact', 'Rigiri C/Fact', 'Geeto Pri', 'Kiune Pri Sch', 'Rai', 'C/Fact', 'Gatangungi Mkt', 'Kaira Mkt', 'Moaa TBC', 'Kathigu Mkt', 'Mworoga', 'Kiri ti C/Fact', 'Pioneer', 'Education Centre', 'PCEA Mbuti Church', 'KARI  Centre', 'Kathigiri Pri Sch', 'Plot 10', 'Gikurune', 'Boys', 'Igoji Boys', 'Rwarene Pri Sch', 'Mweru Mkt', 'Kithioko & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,MERU,"MAUA, KINNA, GARBA -TULLA",Thursday 11.09.2025,8.00 A.M. – 5.00 P.M.,"['Muthara Mkt', 'Muriri Mkt', 'Mbaranga Mkt', 'Karama Mkt', 'Kangeta Mkt', 'Maili Tatu', 'KK', 'Laare', 'Mutuati', 'Kabachi', 'Antu -Betwe', 'Meru National Park', 'Njoune', 'Kiutine', 'Igembe & Kiegoi', 'T/Factories', 'Maua Town', 'Maua General Hosp', 'Kindani', 'Rhino Camp', 'Kiengu Bakeries', 'Maua', 'Methodist Hosp', 'Athi', 'Rumanthi Girls', 'Mbaraga', 'Atuanduru Mkt', 'Kawiru', 'Nkoune', 'Kipkona', 'Mpinda', 'Kabuitu', 'Ncheme', 'Amw amba', 'Kawiru', 'China State Buulu', 'China State', 'Garbatulla', 'Camp Site', 'Kinna', 'Garbatulla', 'Benane & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,KIAMBU,"PART OF RIRONI, KBC",Wednesday 10.09.2025,9.00 A.M. - 5.00 P.M.,"['Part of Rironi', 'Kiroe', 'Ngecha', 'Gitangu', 'Mahinga', 'KBC', 'Tilisi', 'Nduma', 'Mirithu', 'Swatch', 'Luquman Petrol Stn & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,KIAMBU,"KIRATINA, MITIKENDA",Thursday 11.09.2025,9.00 A.M. - 5.00 P.M.,"['Gwa Kairu Riverside', 'Thome', 'St. Linda', 'Part of Gatong’ora Vision Park', 'Agape', 'Sunrise', 'Part', 'of Bypass', 'Part of Kihunguro', 'Miti Kenda', 'Karuguru', 'Mashinani', 'Kiratina', 'Disciples', 'Musafiri', 'Mutonya Dispensary', 'Kwa China', 'Sewage', 'Kwihota', 'Gituamba Water Project  & adjacent', 'customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,KIAMBU,PARTS OF NGOINGWA,Friday 12.09.2025,9.00 A.M. - 5.00 P.M.,"['Kilimambogo Millers', 'Behind TIBS', 'White Sisters', 'Ngoingwa Classic', 'Family Gardens', 'PCEA', 'Kisiwa', 'Mpesa Foundation', 'Karibaribi', 'Kawira', 'Makwa Boys', 'Makwa Dispensary', 'Makwa', 'Magumu', 'Gakui  S/Cente r & adjacent customers', 'COAST REGION']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,KILIFI,WATAMU,Tuesday  09.09.2025,9.00 A.M. – 5.00 P.M.,"['Temple Point', 'Dongokundu', 'Watamu  Hosp', 'Turtle Bay', 'Plot 10', '20 & 30', 'Pili Pan', 'Captain', 'Andy', 'Kwa Roy', 'Hemmingways', 'Medina Palms', 'Kika House & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,KILIFI,"MARAFA, SABAKI, GONGONI",Thursday  11.09.2025,9.00 A.M. – 5.00 P.M.,"['Savannah', 'Karibuni Villas', 'Marafa', 'KBC Marekebuni', 'Garashi', 'Wakala', 'Mambrui', 'Mwembe', 'Resort', 'Parts of Mtangani', 'Mass Rental', 'Citizen', 'Sabaki Moi', 'Mijikenda Residence &', 'adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,KWALE,"MSAMBWENI, SHIMONI",Tuesday  09.09.2025,9.00 A.M. – 5.00 P.M.,"['Msambweni', 'Mwaembe', 'Munje', 'Bomani', 'Milalani', 'Kiscol Ramisi', 'Shimoni Town', 'Shimba', 'Hills', 'Katangini', 'Kikoneni', 'Mamba', 'Bengo & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,KWALE,DIANI BEACH ROAD,Thursday  11.09.2025,9.00 A.M. – 5.00 P.M.,"['Diani Reef', 'Leopard Beach', 'Diani Beach Hosp', 'Jacaranda', 'Southern Palms', 'Lilly’s Court', 'Mwaroni & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,MOMBASA,PARTS OF CHANGAMWE,Tuesday 09.09.2025,9.00 A.M. – 5.00 P.M.,"['Kenya Meat', 'MICD', 'Mitchell Cotts', 'Awale', 'Total Changamwe', 'Kipevu', 'Miracle Park Kibarani', '& adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,MOMBASA,"TANGANA ROAD, MACHAKOS STREET",Tuesday 09.09.2025,9.00 A.M. – 5.00 P.M.,"['Uhuru Gardens', 'Best Electronics Mall', 'Red Cross Mombasa', 'Nairobi University Mombasa', 'AAR Healthcare', 'FIDA Kenya', 'Chloride Exide', 'Auto Express', 'Toyota Kenya', 'CFAO', 'Mombasa', 'Dakika Motors & adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,MOMBASA,SHELLY BEACH ROAD,Tuesday  09.09.2025,9.00 A.M. – 5.00 P.M.,"['Cooperative Bank', 'Kenya Power Office', 'Lakers', 'Dudus', 'Majengo Mapya', 'Musdhalifa', 'Muhajirina', 'Pungu Villas', 'Senti Kumi', 'Simba Villas', 'Maji Safi', 'Jet Bar', 'Kwetu Beach', 'Mwahima Sec', 'Shelly Beach Police', 'Vanga', 'Brazil', 'Swabrina', 'Millenium 2', 'Father Mroki', '& adjacent customers.']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,MOMBASA,PARTS OF NYALI,Thursday  11.09.2025,9.00 A.M. – 5.00 P.M.,"['Part of Fidel Odinga Rd', 'Moyne Drive', 'Jamhuri Rd', 'Green Wood Drive', 'Park Lane', 'Neem', 'Rd', 'Part of Mt Kenya Rd', 'Nyali Reef Hotel', 'Mombasa Beach Hotel', 'Bahari Beach Hotel', 'Voyager Beach Hotel', 'Nyali Barracks', 'Nyali Beach Hotel', 'Nyali Beach Holiday Resort', 'Makw etu', 'Light Academy', 'Mama Ngina Drive', 'Nyali Police', 'Ksuku Rd', 'Simba Rd', 'Coral', 'Drive', 'Exhibition Rd & adjacent customers.', 'For further information', 'contact', 'the nearest Kenya Power office', 'Interruption n otices may be viewed at', 'www.kplc.co.ke', 'Power Maintenance Notice', 'Notice is hereby given under R ule 27 of the Electric Power Rules', 'That the electricity supply will be interrupted as here under:', '(It is necessary to interrupt supply periodically in order to facilitate maintenance and upgrade of', 'power lines to the network; to connect new customers or to replace power lines during road', 'construction', 'etc.)']",01K4CVT9654ZXNHZ7PW0Y3AH3K.pdf
,NAIROBI,PART OF PARKLANDS,Monday 23.06.2025,9.00 A.M. – 5.00 P.M.,"['Legal Plaza', 'Part of Limuru Rd', '6th Parklands', 'Ita Rd & adjacent customers']",01JYA1DANZCTPZA6ZC6HMHVKDD.pdf
,NAIROBI,PART OF WESTLANDS,Thursday 26.06.2025,9.00 A.M. – 5.00 P.M.,"['NSSF', 'Westpark', 'Unga House', 'Muthithi Rd & adjacent customers.']",01JYA1DANZCTPZA6ZC6HMHVKDD.pdf
,MAKUENI,"WHOLE OF KOLA, WOTE",Wednesday 25.06.2025,9.00 A.M. – 5.00 P.M.,"['Kilyungi', 'Kitundu', 'Utangwa', 'Ukia', 'Mukuyuni', 'Kilala', 'Kali', 'Nziu', 'Lake Oil', 'Sarova', 'Nthongoni', 'Kyambalasi', 'Kiniu', 'Iuani  & adjacent customers.']",01JYA1DANZCTPZA6ZC6HMHVKDD.pdf
,MAKUENI,"EMALI TO NZIU, SULTAN",Thursday 26.06.2025,9.00 A.M. – 5.00 P.M.,"['Mulala', 'Kithumani', 'Masokani', 'Kikumini', 'Masumba', 'Welfare', 'Matiliku', 'Kilili', 'Kalamba', 'Katulye', 'Upendo', 'Nziu & adjacent customers.']",01JYA1DANZCTPZA6ZC6HMHVKDD.pdf
,MACHAKOS,KILIMAMBOGO,Tuesday 24.06.2025,9.00 A.M. - 5.00 P.M.,"['Donyo Sabuk Mkt', 'KWS', 'KPLC Repeater Station at Summit', 'St. Damiano', 'Kantara', 'Nzambani', 'Kyeleni', 'Donyo Sabuk Resort', 'Kitini', 'Delmonte Workshop', 'Kwetu Farm', 'Uamani', 'Village', 'Kwa Mwaura Mkt', 'Kwa Mulinga', 'Kitambasye', 'Kayatta', 'Ngunga', 'Part of Ngoliba Mkt', '& adjac ent customers.']",01JYA1DANZCTPZA6ZC6HMHVKDD.pdf
,NAKURU,WHOLE OF NAKURU CBD,Sunday 22.06.2025,9.00 A.M. - 5.00 P.M.,"['Whole of Nakuru Town', 'Kenyatta Ave', 'Moi Rd', 'Westside Mall', 'Polo Center', 'Waterbuck Hotel', 'Merica Hotel', 'CK Patel', 'Bontana Hotel', 'Cathy Hotel', 'Naivas S/Mkt', 'Woolmatt S/Mkts', 'Clean', 'Shelf S/Mkt', 'Top Mkt', 'Kanini Mkt', 'Biashara Center', 'Gilani S/Mkt', 'Oleken Hotel', 'Mt. Kenya', 'Univ', 'Club Lane', 'Avenue Suit Hotel', 'Njoro Sub -County Hosp & adjacent customers.']",01JYA1DANZCTPZA6ZC6HMHVKDD.pdf
,KISUMU,KISUMU EAST,Sunday 22.06.2025,8.00 A.M. – 5.00 P.M.,"['Milimani Est', 'Manyatta', 'Polyview Est', 'Kisumu Polytechnic', 'Dunga', 'Nyalenda & adjacent', 'customers.']",01JYA1DANZCTPZA6ZC6HMHVKDD.pdf
,BUSIA,MUNDIKA,Thursday 26.06.2025,9.00 A.M. – 5.00 P.M.,"['Mundika Mission Hosp', 'Mundika Mkt', 'Suo Water', 'Budokomi', 'Lwanya Girls', 'Matayos Youth', 'Polytechnic', 'Wako Residence', 'Ganjala', 'Nambukuku', 'Nahasiko', 'Nyakwaka', 'Bumala Mkt', 'Busire Catholic & adjacent customers.']",01JYA1DANZCTPZA6ZC6HMHVKDD.pdf
,KAKAMEGA,TUMAINI,Thursday 26.06.2025,9.00 A.M. – 5.00 P.M.,"['Tumaini', 'Shikoli', 'Etumeiyo & adjacent customers.']",01JYA1DANZCTPZA6ZC6HMHVKDD.pdf
,KAKAMEGA,KAKAMEGA TOWN,Sunday 29.06.2025,9.00 A.M. – 5.00 P.M.,"['Kakamega Town', 'Shinyalu', 'Lubao', 'Lutaso', 'Shimanyiro', 'KPLC Offices', 'Akatsa', 'Khayega', 'Kakamega Airstrip & adjacent customers.']",01JYA1DANZCTPZA6ZC6HMHVKDD.pdf
